"wavelength";"Alb";"PLP";"Com"
"373.5";331,9550559;4455,494;1152,045274
"374";331,9550559;4495,7072;1128,534146
"374.5";331,9550559;4519,4422;1105,023018
"375";331,9550559;4554,1707;1081,51189
"375.5";331,9550559;4594,3839;1058,000762
"376";331,9550559;4623,6037;1034,489634
"376.5";331,9550559;4640,9679;1034,489634
"377";331,9550559;4675,6963;1010,978506
"377.5";331,9550559;4698,5453;987,4673777
"378";331,9550559;4720,4122;987,4673777
"378.5";331,9550559;4745,1294;963,9562497
"379";331,9550559;4777,9896;940,4451217
"379.5";331,9550559;4792,5995;940,4451217
"380";331,9550559;4818,2028;916,9339936
"380.5";331,9550559;4832,8127;916,9339936
"381";331,9550559;4856,5478;893,4228656
"381.5";331,9550559;4879,3968;869,9117375
"382";331,9550559;4896,761;869,9117375
"382.5";265,5640448;4914,1252;869,9117375
"383";265,5640448;4922,3643;846,4006095
"383.5";265,5640448;4937,8603;846,4006095
"384";265,5640448;4946,0993;846,4006095
"384.5";265,5640448;4963,4635;822,8894815
"385";265,5640448;4968,9483;822,8894815
"385.5";265,5640448;4984,4443;822,8894815
"386";331,9550559;4987,1986;799,3783534
"386.5";265,5640448;4999,0542;799,3783534
"387";331,9550559;5010,0476;799,3783534
"387.5";265,5640448;5001,8085;799,3783534
"388";265,5640448;5007,2933;775,8672254
"388.5";265,5640448;5001,8085;775,8672254
"389";265,5640448;5001,8085;775,8672254
"389.5";265,5640448;4999,0542;775,8672254
"390";199,1730336;4999,0542;775,8672254
"390.5";199,1730336;4989,9291;775,8672254
"391";199,1730336;4984,4443;775,8672254
"391.5";199,1730336;4967,0801;775,8672254
