"label";"observed";"Curve 215";"Curve 244";"Curve 299";"Curve 401";"predicted"
302;0,5533;5,45057651831478e-45;2,93268266097892e-07;0,52242497517607;0,000844132072057494;0,523269400516393
302,5;0,547;1,67271096157512e-45;2,28522612264205e-07;0,513521614723256;0,000884059437883364;0,514405902683752
303;0,5396;5,09896698071019e-46;1,77695987302356e-07;0,503977247016134;0,000925644124893987;0,504903068837016
303,5;0,5305;1,5439254671936e-46;1,37882895259265e-07;0,493833486161569;0,000968942830458819;0,494802566874923
304;0,5201;4,64358390294715e-47;1,06764654747595e-07;0,483133937318027;0,00101401359721334;0,484148057679895
304,5;0,5097;1,38727671790857e-47;8,24952491154967e-08;0,471923885584982;0,00106091581665385;0,472984883896885
305;0,4981;4,11676174438331e-48;6,36084348102293e-08;0,460249978344482;0,00110971023117676;0,461359752184093
305,5;0,4852;1,21347603318182e-48;4,89423493297361e-08;0,448159904154664;0,00116045893448681;0,4493204120315
306;0,4712;3,55295337171707e-49;3,75784833618474e-08;0,435702071263037;0,00121322537029827;0,436915334211818
306,5;0,4566;1,03331003563436e-49;2,87924099112652e-08;0,422925288737926;0,0012680743292525;0,424193391859589
307;0,4423;2,98507069833147e-50;2,20141092508665e-08;0,409878453111767;0,00132507194397516;0,411203547069851
307,5;0,4275;8,56567180166329e-51;1,67961038318213e-08;0,396610243292018;0,00138428568219593;0,397994545770318
308;0,4113;2,44146820886461e-51;1,27879319494239e-08;0,383168826327389;0,0014457843378538;0,384614623453175
308,5;0,394;6,91231548662416e-52;9,71575186865815e-09;0,369601576421867;0,00150963802011097;0,37111122415773
309;0,3765;1,94392213239009e-52;7,36608702724424e-09;0,355954809370321;0,00157591814019876;0,357530734876607
309,5;0,3591;5,43021483477448e-53;5,5729046022969e-09;0,342273534350987;0,00164469739601933;0,343918237319911
310;0,3415;1,50673887646271e-53;4,20736998644038e-09;0,328601224755866;0,0017160497544278;0,330317278717664
310,5;0,3239;4,15280760068235e-54;3,16974359382232e-09;0,314979609474083;0,00179005043111986;0,316769663074946
311;0,3062;1,1369162192897e-54;2,38298820924679e-09;0,301448485769651;0,00186677586805142;0,303315264020691
311,5;0,2883;3,09170428806147e-55;1,78773847404413e-09;0,288045554617951;0,00194630370831755;0,289991860114007
312;0,2708;8,35122662358826e-56;1,338352185428e-09;0,274806279088513;0,00202871276841983;0,276834993195285
312,5;0,254;2,24070882471612e-56;9,99818505132037e-10;0,261763766089252;0,00211408300785248;0,263877850096923
313;0,238;5,97177470247723e-57;7,45343144561911e-10;0,248948671522641;0,0022024954959396;0,251151167763923
313,5;0,2228;1,58089941778961e-57;5,54466975706068e-10;0,236389128650797;0,00229403237585798;0,238683161581122
314;0,2073;4,15707537409516e-58;4,11603861186919e-10;0,224110699227119;0,00238877682578198;0,226499476464505
314,5;0,192;1,08581139030369e-58;3,04907093639278e-10;0,212136346729435;0,00248681301708962;0,214623160051432
