"wavelength"	"INH"	"INH_adj.r.squared"	"PL"	"PL_adj.r.squared"
"317.5"	3490	0.999337936770226	1798.63945578231	0.999711673779476
"318"	3440	0.999189079605352	1661.22448979592	0.999784716190885
"318.5"	3390	0.999298314795699	1538.77551020408	0.999749096238398
"319"	3340	0.999139815777212	1410.8843537415	0.999824266965444
"319.5"	3290	0.999255027028358	1307.48299319728	0.999717439198004
"320"	3240	0.99908592321755	1208.16326530612	0.99962725359434
"320.5"	3190	0.999207606973059	1111.56462585034	0.999716902705901
"321"	3140	0.999026803454848	1017.68707482993	0.99947471859925
"321.5"	3080	0.998988536749831	936.054421768708	0.99937914431727
"322"	3040	0.998961758089635	858.503401360544	0.999344772616014
"322.5"	2990	0.999098105275711	790.476190476191	0.999227204761129
"323"	2930	0.999060806929848	730.612244897959	0.999344875994385
"323.5"	2880	0.999196567737374	668.027210884354	0.99891815713664
"324"	2830	0.998993294174418	617.687074829932	0.998807446189645
"324.5"	2770	0.998949233200757	572.789115646258	0.998528872981428
"325"	2720	0.999099310071515	530.612244897959	0.998817500985416
"325.5"	2670	0.999242806663301	495.238095238095	0.998145635459068
"326"	2620	0.999029277005514	462.585034013606	0.998444521258209
"326.5"	2570	0.999182759246928	436.734693877551	0.997471297776486
"327"	2520	0.998950748116593	417.687074829932	0.997997350993377
"327.5"	2470	0.999115276230421	394.557823129252	0.9978627404417
"328"	2410	0.999070695945481	382.312925170068	0.996701838630189
"328.5"	2360	0.999234229922466	367.34693877551	0.997534921939195
"329"	2320	0.999207606973059	355.102040816327	0.996178343949045
"329.5"	2270	0.998952595236248	345.578231292517	0.996196660482375
"330"	2220	0.998648210230345	341.496598639456	0.99586861891571
"330.5"	2180	0.999102610841583	336.054421768708	0.996908481230065
"331"	2110	0.99878782436922	331.972789115646	0.995879396984925
"331.5"	2070	0.99923792341908	331.972789115646	0.995879396984925
"332"	2020	0.998954897285999	331.972789115646	0.995879396984925
"332.5"	1980	0.998912267582175	336.054421768708	0.995929709848794
"333"	1930	0.999123403341801	336.054421768708	0.996908481230065
"333.5"	1890	0.99908592321755	344.21768707483	0.997987362508776
"334"	1840	0.999291366481635	345.578231292517	0.996196660482375
"334.5"	1790	0.998980992388637	353.741496598639	0.997341996455995
"335"	1740	0.999207606973058	359.183673469388	0.996478671628972
"335.5"	1700	0.999169894853348	368.707482993197	0.996454526930653
"336"	1650	0.998800841857961	375.510204081633	0.998347757671125
"336.5"	1620	0.99908592321755	385.034013605442	0.998391019644528
"337"	1570	0.999324068566485	394.557823129252	0.9978627404417
"337.5"	1520	0.998961758089635	404.081632653061	0.997860417727968
"338"	1490	0.998529676528836	412.244897959184	0.998596223951249
"338.5"	1450	0.999207606973059	421.768707482993	0.998129287050509
"339"	1400	0.998776259433	439.455782312925	0.998764545323948
"339.5"	1360	0.998703263453641	448.979591836735	0.998623853211009
"340"	1320	0.998623537508603	458.503401360544	0.998337657768591
"340.5"	1280	0.999349170191995	472.108843537415	0.998431990708093
"341"	1240	0.999306518723994	485.714285714286	0.998518518518518
"341.5"	1210	0.998862291799399	499.319727891157	0.998598078848793
"342"	1170	0.998783218144651	512.925170068027	0.998671399950793
"342.5"	1140	0.999179571326018	526.530612244898	0.998739117382168
"343"	1100	0.999118845687851	540.136054421769	0.998801787808666
"343.5"	1070	0.999476074048201	552.380952380952	0.999417828987265
"344"	1030	0.999434602336977	565.986394557823	0.999445471349353
"344.5"	1000	0.998933901918977	580.952380952381	0.998964128141185
"345"	970	0.999362515937102	598.639455782313	0.999225606608157
"345.5"	930	0.999306518723994	606.802721088435	0.999517539451201
"346"	900	0.998683994077973	625.850340136054	0.999291450165328
"346.5"	880	0.998623537508603	639.455782312925	0.999321266968326
"347"	849.999999999999	0.999169894853348	657.142857142857	0.999447241564006
"347.5"	809.999999999999	0.99908592321755	670.748299319728	0.999469430563267
"348"	790	0.999039077514414	688.43537414966	0.999625146427177
"348.5"	769.999999999999	0.998988536749832	703.401360544218	0.999293233363872
"349"	740	0.999513145082765	715.646258503401	0.999653103996531
"349.5"	719.999999999999	0.999485728979172	734.69387755102	0.999485773054508
"350"	690	0.999859983197984	751.020408163265	0.999822799763733
"350.5"	670	0.9998514998515	770.068027210884	0.999700393233881
"351"	630	0.999832045683574	787.755102040816	0.999758421688364
"351.5"	620	0.999306518723994	805.442176870748	0.999845934379458
"352"	590	0.998277841561424	819.047619047619	0.999851009822315
"352.5"	569.999999999999	0.999794829708658	840.816326530612	0.999937162905168
"353"	550	0.999779638607316	859.863945578231	0.99986481750363
"353.5"	530	0.999762695775985	877.551020408163	0.999891841222915
"354"	510	0.999743721168631	896.598639455783	0.999813508006492
"354.5"	490	0.999722376457523	918.367346938776	0.999901241070547
